Question,Numbers,Equation,Answer,group_nums,Body,Ques,Type,Variation Type,id
"Gwen was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , how many books did she have total ?",[4. 5. 3.],['*' 'number0' '+' 'number1' 'number2'],32.0,[13 14 15 21 22 23 27 28 29 38 39 40],"Gwen was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books ,",how many books did she have total ?,,,43
"Paul had saved up number0 dollars . If he received another number1 dollars for his allowance , how many number2 dollar toys could he buy ?",[ 4. 11.  5.],['/' '+' 'number0' 'number1' 'number2'],3.0,[ 3  4  5 10 11 12 18 19 20 22 23 24],"Paul had saved up number0 dollars . If he received another number1 dollars for his allowance ,",how many number2 dollar toys could he buy ?,,,44
Mary starts with number0 eggs . She finds another number1 . How many eggs does Mary end with ?,[27.  4.],['+' 'number0' 'number1'],31.0,[ 2  3  4  8  9 10 15 16 17],Mary starts with number0 eggs . She finds another number1 .,How many eggs does Mary end with ?,,,45
"Brandy made trail mix for a backpacking trip . She used number0 pound of peanuts , number1 pound of chocolate chips , and number2 pound of raisins . How many pounds of trail mix did Brandy make ?",[0.16666667 0.16666667 0.08333333],['+' '+' 'number0' 'number0' 'number2'],0.4166666666666667,[10 11 12 15 16 17 22 23 24 34 35 36],"Brandy made trail mix for a backpacking trip . She used number0 pound of peanuts , number1 pound of chocolate chips , and number2 pound of raisins .",How many pounds of trail mix did Brandy make ?,,,46
Bridget weighs number0 pounds . Martha weighs number1 pounds . How much heavier is Bridget than Martha ?,[39.  2.],['-' 'number0' 'number1'],37.0,[ 1  2  3  6  7  8 14 15 16],Bridget weighs number0 pounds . Martha weighs number1 pounds .,How much heavier is Bridget than Martha ?,,,47
For Halloween Bianca received number0 pieces of candy . She ate number1 pieces then placed the rest into piles with number2 in each pile . How many piles could she make ?,[78. 30.  8.],['/' '-' 'number0' 'number1' 'number2'],6.0,[ 3  4  5 10 11 12 19 20 21 28 29 30],For Halloween Bianca received number0 pieces of candy . She ate number1 pieces then placed the rest into piles with number2 in each pile .,How many piles could she make ?,,,48
There are number0 pencils in the drawer . Sara placed number1 pencils in the drawer . How many pencils are now there in all ?,[115. 100.],['+' 'number0' 'number1'],215.0,[ 1  2  3  9 10 11 21 22 23],There are number0 pencils in the drawer . Sara placed number1 pencils in the drawer .,How many pencils are now there in all ?,,,49
"While playing at the arcade , Luke won number0 tickets playing ' whack a mole ' and number1 tickets playing ' skee ball ' . If he was trying to buy candy that cost number2 tickets a piece , how many could he buy ?",[ 2. 13.  3.],['/' '+' 'number0' 'number1' 'number2'],5.0,[ 7  8  9 16 17 18 33 34 35 41 42 43],"While playing at the arcade , Luke won number0 tickets playing ' whack a mole ' and number1 tickets playing ' skee ball ' . If he was trying to buy candy that cost number2 tickets a piece ,",how many could he buy ?,,,50
A multi - national corporation has number0 part - time employees and number1 full - time employees . How many employees work for the corporation ?,[ 2041. 63093.],['+' 'number0' 'number1'],65134.0,[ 5  6  7 11 12 13 22 23 24],A multi - national corporation has number0 part - time employees and number1 full - time employees .,How many employees work for the corporation ?,,,51
A box of books weighs number0 pounds . Each book weighs number1 pounds . How many books are there in the box ?,[42.  3.],['/' 'number0' 'number1'],14.0,[ 4  5  6 10 11 12 19 20 21],A box of books weighs number0 pounds . Each book weighs number1 pounds .,How many books are there in the box ?,,,52
You have number0 balloons and your friend has number1 balloons . How many more balloons do you have than your friend ?,[7. 5.],['-' 'number0' 'number1'],2.0,[ 1  2  3  7  8  9 20 21 22],You have number0 balloons and your friend has number1 balloons .,How many more balloons do you have than your friend ?,,,53
"At lunch a waiter had number0 customers and number1 of them did n't leave a tip . If he got $ number2 each from the ones who did tip , how much money did he earn ?",[10.  5.  3.],['*' 'number2' '-' 'number0' 'number1'],15.0,[ 4  5  6  7  8  9 20 21 22 33 34 35],"At lunch a waiter had number0 customers and number1 of them did n't leave a tip . If he got $ number2 each from the ones who did tip ,",how much money did he earn ?,,,54
"There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups , how many students would be in each group ?",[17.  5.  3.],['/' '-' 'number0' 'number1' 'number2'],4.0,[ 1  2  3 13 14 15 29 30 31 38 39 40],"There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups ,",how many students would be in each group ?,,,55
"An oil pipe in the sea broke . Before engineers started to fix the pipe , number0 gallons of oil leaked into the water . A total of number1 gallons of oil leaked before the pipe was fixed . How many gallons of oil leaked while the engineers were fixing the pipe ?",[2475. 6206.],['-' 'number1' 'number0'],3731.0,[15 16 17 27 28 29 49 50 51],"An oil pipe in the sea broke . Before engineers started to fix the pipe , number0 gallons of oil leaked into the water . A total of number1 gallons of oil leaked before the pipe was fixed .",How many gallons of oil leaked while the engineers were fixing the pipe ?,,,56
"If Benjamin skated number0 kilometers at number1 kilometers per hour , how long was Benjamin skating ?",[80. 10.],['/' 'number0' 'number1'],8.0,[ 2  3  4  5  6  7 13 14 15],"If Benjamin skated number0 kilometers at number1 kilometers per hour ,",how long was Benjamin skating ?,,,57
A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage . How many cages did they use ?,[88. 34.  6.],['/' '-' 'number0' 'number1' 'number2'],9.0,[ 3  4  5 11 12 13 21 22 23 30 31 32],A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage .,How many cages did they use ?,,,58
"Dave bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it , how many pieces did Dave still have ?",[12.  5.  3.],['*' 'number2' '-' 'number0' 'number1'],21.0,[ 1  2  3  8  9 10 18 19 20 28 29 30],"Dave bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it ,",how many pieces did Dave still have ?,,,59
"Mike found number0 seashells and number1 starfish , but number2 of the seashells were broken . How many unbroken seashells did Mike find ?",[6. 4. 4.],['-' 'number0' 'number1'],2.0,[ 1  2  3  4  5  6  8  9 10 20 21 22],"Mike found number0 seashells and number1 starfish , but number2 of the seashells were broken .",How many unbroken seashells did Mike find ?,,,60
"There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups , how many students would be in each group ?",[64. 36.  4.],['/' '-' 'number0' 'number1' 'number2'],7.0,[ 1  2  3 13 14 15 29 30 31 38 39 40],"There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups ,",how many students would be in each group ?,,,61
Mrs. Hilt bought number0 pizzas for $ number1 each . What was the total amount she paid for the three pizzas ?,[3. 8.],['*' 'number0' 'number1'],24.0,[ 2  3  4  6  7  8 18 19 20],Mrs. Hilt bought number0 pizzas for $ number1 each .,What was the total amount she paid for the three pizzas ?,,,62
"The school cafeteria ordered number0 red apples and number1 green apples for students lunches . But , if only number2 students wanted fruit , how many extra did the cafeteria end up with ?",[43. 32.  2.],['-' '+' 'number0' 'number1' 'number2'],73.0,[ 3  4  5  7  8  9 18 19 20 30 31 32],"The school cafeteria ordered number0 red apples and number1 green apples for students lunches . But , if only number2 students wanted fruit ,",how many extra did the cafeteria end up with ?,,,63
"There were number0 girls and number1 boys trying out for the schools basketball team . If only number2 of them got called back , how many students did n't make the cut ?",[39.  4. 26.],['-' '+' 'number0' 'number1' 'number2'],17.0,[ 1  2  3  4  5  6 16 17 18 29 30 31],"There were number0 girls and number1 boys trying out for the schools basketball team . If only number2 of them got called back ,",how many students did n't make the cut ?,,,64
Each ticket costs $ number0 . How much do number1 tickets cost ?,[9. 4.],['*' 'number0' 'number1'],36.0,[ 3  4  5  8  9 10  9 10 11],Each ticket costs $ number0 .,How much do number1 tickets cost ?,,,65
"Recently , the value of Kate 's retirement fund decreased by $ number0 . If her fund was worth $ number1 before , how much is it worth now ?",[  12. 1472.],['-' 'number1' 'number0'],1460.0,[11 12 13 19 20 21 26 27 28],"Recently , the value of Kate 's retirement fund decreased by $ number0 . If her fund was worth $ number1 before ,",how much is it worth now ?,,,66
A sandbox is number0 centimeters long and number1 centimeters wide . How many square centimeters of ground does the sandbox cover ?,[312. 146.],['*' 'number0' 'number1'],45552.0,[ 2  3  4  6  7  8 18 19 20],A sandbox is number0 centimeters long and number1 centimeters wide .,How many square centimeters of ground does the sandbox cover ?,,,67
"A pet store has number0 bird cages . If each cage has number1 parrots and number2 parakeets in it , how many birds does the pet store have total ?",[9. 2. 6.],['*' 'number0' '+' 'number1' 'number2'],72.0,[ 3  4  5 11 12 13 14 15 16 26 27 28],"A pet store has number0 bird cages . If each cage has number1 parrots and number2 parakeets in it ,",how many birds does the pet store have total ?,,,68
Mrs. Hilt bought an ice cream cone for number0 cents . How much would number1 ice cream cones cost ?,[99.  2.],['*' 'number0' 'number1'],198.0,[ 7  8  9 13 14 15 16 17 18],Mrs. Hilt bought an ice cream cone for number0 cents .,How much would number1 ice cream cones cost ?,,,69
Sally has number0 blue balloons . Fred has number1 times more blue balloons than Sally . How many blue balloons does Fred have now ?,[6. 3.],['*' 'number0' 'number1'],18.0,[ 1  2  3  7  8  9 23 24 25],Sally has number0 blue balloons . Fred has number1 times more blue balloons than Sally .,How many blue balloons does Fred have now ?,,,70
"If Joan bicycled number0 miles at number1 miles per hour , how long was Joan travelling ?",[25.  5.],['/' 'number0' 'number1'],5.0,[ 2  3  4  5  6  7 13 14 15],"If Joan bicycled number0 miles at number1 miles per hour ,",how long was Joan travelling ?,,,71
"Each child has number0 bottle caps . If there are number1 children , how many bottle caps are there in total ?",[5. 9.],['*' 'number0' 'number1'],45.0,[ 2  3  4  9 10 11 18 19 20],"Each child has number0 bottle caps . If there are number1 children ,",how many bottle caps are there in total ?,,,72
Jesse ’ s room is number0 feet long and number1 feet wide . How much carpet does she need to cover the whole floor ?,[12.  8.],['*' 'number0' 'number1'],96.0,[ 3  4  5  7  8  9 20 21 22],Jesse ’ s room is number0 feet long and number1 feet wide .,How much carpet does she need to cover the whole floor ?,,,73
There are number0 cupcakes for number1 children to share . How much will each person get if they share the cupcakes equally ?,[96.  8.],['/' 'number0' 'number1'],12.0,[ 1  2  3  4  5  6 19 20 21],There are number0 cupcakes for number1 children to share .,How much will each person get if they share the cupcakes equally ?,,,74
Nancy has number0 black balloons . Mary has number1 times more black balloons than Nancy . How many black balloons does Mary have now ?,[7. 4.],['*' 'number0' 'number1'],28.0,[ 1  2  3  7  8  9 23 24 25],Nancy has number0 black balloons . Mary has number1 times more black balloons than Nancy .,How many black balloons does Mary have now ?,,,75
"The junior ranger asked Christian to help him place number0 seedlings in packets . If every packet needs to contain number1 seeds , how many packets do they need ?",[420.   7.],['/' 'number0' 'number1'],60.0,[ 8  9 10 19 20 21 26 27 28],"The junior ranger asked Christian to help him place number0 seedlings in packets . If every packet needs to contain number1 seeds ,",how many packets do they need ?,,,76
"A pet store has number0 bird cages . If each cage has number1 parrots and number2 parakeets in it , how many birds does the pet store have total ?",[6. 6. 2.],['*' 'number0' '+' 'number0' 'number2'],48.0,[ 3  4  5 11 12 13 14 15 16 26 27 28],"A pet store has number0 bird cages . If each cage has number1 parrots and number2 parakeets in it ,",how many birds does the pet store have total ?,,,77
For Halloween Haley scored number0 pieces of candy . She ate number1 pieces the first night and then her sister gave her number2 more pieces . How many pieces of candy does Haley have now ?,[33. 17. 19.],['-' '+' 'number0' 'number2' 'number1'],35.0,[ 3  4  5 10 11 12 21 22 23 32 33 34],For Halloween Haley scored number0 pieces of candy . She ate number1 pieces the first night and then her sister gave her number2 more pieces .,How many pieces of candy does Haley have now ?,,,78
"There were originally number0 houses in Lincoln County . During a housing boom , developers built number1 . How many houses are there now in Lincoln County ?",[20817. 97741.],['+' 'number0' 'number1'],118558.0,[ 2  3  4 15 16 17 24 25 26],"There were originally number0 houses in Lincoln County . During a housing boom , developers built number1 .",How many houses are there now in Lincoln County ?,,,79
The Hawks scored number0 touchdowns worth number1 points each . How many points do they have ?,[3. 7.],['*' 'number0' 'number1'],21.0,[ 2  3  4  5  6  7 13 14 15],The Hawks scored number0 touchdowns worth number1 points each .,How many points do they have ?,,,80
Sara picked number0 pears and Tim picked number1 pears from the pear tree . How many pears were picked in total ?,[6. 5.],['+' 'number0' 'number1'],11.0,[ 1  2  3  6  7  8 18 19 20],Sara picked number0 pears and Tim picked number1 pears from the pear tree .,How many pears were picked in total ?,,,81
"Soft drinks are on sale at the grocery store for number0 dollars for a number1 pack . How much would each can of soft drink cost if purchased individually , in dollars ?",[ 2.99 12.  ],['/' 'number0' 'number1'],0.25,[ 9 10 11 13 14 15 29 30 31],Soft drinks are on sale at the grocery store for number0 dollars for a number1 pack .,"How much would each can of soft drink cost if purchased individually , in dollars ?",,,82
"Paige had number0 math problems and number1 science problems for homework . If she finished number2 of the problems at school , how many problems did she have to do for homework ?",[43. 12. 44.],['-' '+' 'number0' 'number1' 'number2'],11.0,[ 1  2  3  5  6  7 14 15 16 29 30 31],"Paige had number0 math problems and number1 science problems for homework . If she finished number2 of the problems at school ,",how many problems did she have to do for homework ?,,,83
